,flow,volume,vortex,side_f,side_h1,side_blended,PWG,meta
0,,,,,,,ATS2619.0,Sidestack A (Red)Downstream B (Green)Mouthpiece A (Red)0% Infill (Blue)
1,,,,,,,ATS2619.0,Sidestack A (Red)Downstream B (Green)Mouthpiece A (Red)0% Infill (Blue)
2,,,,,,,ATS2619.0,Sidestack A (Red)Downstream B (Green)Mouthpiece A (Red)0% Infill (Blue)
3,,,,,,,ATS2619.0,Sidestack A (Red)Downstream B (Green)Mouthpiece A (Red)0% Infill (Blue)
4,,,,,,,ATS2619.0,Sidestack A (Red)Downstream B (Green)Mouthpiece A (Red)0% Infill (Blue)
5,,,,,,,ATS2619.0,Sidestack A (Red)Downstream B (Green)Mouthpiece A (Red)0% Infill (Blue)
6,,,,,,,ATS2619.0,Sidestack A (Red)Downstream B (Green)Mouthpiece A (Red)0% Infill (Blue)
7,,,,,,,ATS2619.0,Sidestack A (Red)Downstream B (Green)Mouthpiece A (Red)0% Infill (Blue)
8,,,,,,,ATS2619.0,Sidestack A (Red)Downstream B (Green)Mouthpiece A (Red)0% Infill (Blue)
9,,,,,,,ATS2619.0,Sidestack A (Red)Downstream B (Green)Mouthpiece A (Red)0% Infill (Blue)
10,,,,,,,ATS2619.0,Sidestack A (Red)Downstream B (Green)Mouthpiece A (Red)0% Infill (Blue)
11,,,,,,,ATS2619.0,Sidestack A (Red)Downstream B (Green)Mouthpiece A (Red)0% Infill (Blue)
12,,,,,,,ATS2619.0,Sidestack A (Red)Downstream B (Green)Mouthpiece A (Red)0% Infill (Blue)
13,,,,,,,ATS2619.0,Sidestack A (Red)Downstream B (Green)Mouthpiece A (Red)0% Infill (Blue)
14,,,,,,,ATS2619.0,Sidestack A (Red)Downstream B (Green)Mouthpiece A (Red)0% Infill (Blue)
15,,,,,,,ATS2619.0,Sidestack A (Red)Downstream B (Green)Mouthpiece A (Red)0% Infill (Blue)
16,,,,,,,ATS2619.0,Sidestack A (Red)Downstream B (Green)Mouthpiece A (Red)0% Infill (Blue)
17,,,,,,,ATS2619.0,Sidestack A (Red)Downstream B (Green)Mouthpiece A (Red)0% Infill (Blue)
18,,,,,,,ATS2619.0,Sidestack A (Red)Downstream B (Green)Mouthpiece A (Red)0% Infill (Blue)
19,,,,,,,ATS2619.0,Sidestack A (Red)Downstream B (Green)Mouthpiece A (Red)0% Infill (Blue)
20,,,,,,,ATS2619.0,Sidestack A (Red)Downstream B (Green)Mouthpiece A (Red)0% Infill (Blue)
21,,,,,,,ATS2619.0,Sidestack A (Red)Downstream B (Green)Mouthpiece A (Red)0% Infill (Blue)
22,,,,,,,ATS2619.0,Sidestack A (Red)Downstream B (Green)Mouthpiece A (Red)0% Infill (Blue)
23,,,,,,,ATS2619.0,Sidestack A (Red)Downstream B (Green)Mouthpiece A (Red)0% Infill (Blue)
24,,,,,,,ATS2619.0,Sidestack A (Red)Downstream B (Green)Mouthpiece A (Red)0% Infill (Blue)
